actor_id,actor_name
1132,Rythvika Suriya
1133,Prasanna
1134,Atharva
1135,Bobby Simha
1136,Ashok Selvan
1137,Nedumudi Venu
1138,Kishore
1139,Falz
1140,Williams Uchemba
1141,Michelle Dede
1142,Karibi Fubara
1143,Buchi Ojei
1144,Jemima Osunde
1145,Gbubemi Ejeye
1146,Badmus Olakunle
1147,Suliane Brahim
1148,Sofian Khammes
1149,Marie Narbonne
1150,Raphaël Romand
1151,Stéphan Castang
1152,Victor Bonnel
1153,Christian Bouillette
1154,Renan Prévot
1155,Vincent Deniard
1156,Lin-Manuel Miranda
1157,Ynairaly Simo
1158,Zoe Saldana
1159,Juan de Marcos
1160,Brian Tyree Henry
1161,Gloria Estefan
1162,Nicole Byer
1163,Deepika Padukone
1164,Satyaraj
1165,Kamini Kaushal
1166,Lekh Tandon
1167,Mukesh Tiwari
1168,Luis Brandoni
1169,China Zorrilla
1170,Antonio Gasalla
1171,Julio De Grazia
1172,Betiana Blum
1173,Monica Villa
1174,Juan Manuel Tenuta
1175,Andrea Tenuta
1176,Cecilia Rossetto
1177,Enrique Pinti
1178,Jackie Collins
1179,Fernán Mirás
1180,Cecilia Dopazo
1181,Imanol Arias
1182,Héctor Alterio
1183,Leonardo Sbaraglia
1184,Federico D'Elía
1185,David Masajnik
1186,Cristina Banegas
1187,Ernesto Alterio
1188,Antonio Birabent
1189,Rita Dominic
1190,Chidi Mokeme
1191,Ibinabo Fiberesima
1192,Daniel K. Daniel
1193,Memry Savanhu
1194,Adonijah Owiriwa
1195,Pat Nebo
1196,Nelly Ekwereogu
1197,Shuaibu Ebenesi Adams
1198,Debo Oguns
1199,Ben Nwosu
1200,Ada Ofoegbu
1201,Ashley Greene
1202,Shawn Ashmore
1203,Sharif Atkins
1204,Britt Baron
1205,Diana Hopper
1206,Ross McCall
1207,Jamie Kaler
1208,Travis Coles
1209,Susan Walters
1210,Jason Liles
1211,David Geffen
1212,Pruitt Taylor Vince
1213,Shelley Winters
1214,Liv Tyler
1215,Debbie Harry
1216,Evan Dando
1217,Joe Grifasi
1218,Marian Quinn
1219,Genevieve Nnaji
1220,Omotola Jalade-Ekeinde
1221,Odalys Garcia
1222,Ulrich Que
1223,Jeff Swarthout
1224,Clem Ohameze
1225,Ann D. Carey
1226,Anahit Setian
1227,Danielle Soibelman
1228,Jon Morgan Woodward
1229,Roy Chiu
1230,Alice Ko
1231,Tia Lee
1232,Patrick Lee
1233,Kuo Shu-yao
1234,James Wen
1235,Janel Tsai
1236,Charles Grodin
1237,Bonnie Hunt
1238,Oliver Platt
1239,Nicholle Tom
1240,Christopher Castile
1241,Sarah Rose Karr
1242,David Duchovny
1243,Patricia Heaton
1244,O-Lan Jones
1245,Nancy Fish
1246,Debi Mazar
1247,Chris Penn
1248,Anthony Hopkins
1249,Angelina Jolie
1250,Robin Wright
1251,Alison Lohman
1252,Sharisse Baker-Bernard
1253,Scott Adkins
1254,Teodora Duhovnikova
1255,Alon Aboutboul
1256,Julian Vergov
1257,Brahim Achabbakhe
1258,Paul Chahidi
1259,Petio Petkov
1260,Valentin Ganev
